Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
1784,1,7,2,9500.0,1.0,3.0,140.0,1,37,38,9.0,9.0,138.0,0,0,0,1,1,0,28,0.0,0,7.0,7,7.0,14.114285714285714,0.0,0.0,8.0,9.0,8,15.91111111111111,0,16.2,0.3,-0.92,Dropout,Brussels,Youngest Child,Online,Arts,Special Needs
2820,1,18,6,9500.0,1.0,,,1,1,1,,6.0,130.8,1,0,0,1,0,0,18,,0,8.0,11,,,0.0,0.0,8.0,11.0,7,12.771428571428572,0,12.7,3.7,-1.7,Graduate,,,Part-Time,Medicine,No Special Needs
1281,1,1,3,9500.0,1.0,1.0,133.1,1,38,19,7.0,9.0,115.5,1,0,0,1,1,1,20,0.0,0,8.0,8,7.0,13.024285714285714,0.0,0.0,8.0,8.0,7,13.024285714285714,0,10.8,1.4,1.74,Graduate,Athens,Middle Child,Part-Time,Arts,Special Needs
61,1,44,1,9238.0,1.0,39.0,,1,19,1,9.0,9.0,131.9,0,0,0,1,0,1,21,0.0,3,6.0,7,6.0,12.0,,2.0,6.0,7.0,6,12.0,0,13.9,-0.3,0.79,Graduate,Saint Petersburg,,Part-Time,Medicine,
1231,1,1,1,9238.0,1.0,1.0,,1,1,19,4.0,4.0,127.3,1,0,1,1,0,0,20,0.0,0,6.0,6,6.0,12.166666666666666,,0.0,6.0,7.0,6,11.666666666666666,0,9.4,-0.8,-3.12,Graduate,Prague,,Part-Time,Medicine,
4093,1,1,1,9773.0,1.0,1.0,126.0,1,37,38,7.0,7.0,119.0,0,0,0,1,0,1,18,0.0,0,6.0,6,6.0,12.166666666666666,0.0,0.0,6.0,7.0,6,12.142857142857142,0,15.5,2.8,-4.06,Graduate,Athens,Middle Child,Online,Science,Special Needs
877,1,39,2,9556.0,1.0,1.0,130.0,1,19,19,4.0,5.0,100.0,0,0,0,1,1,1,25,0.0,0,7.0,7,2.0,10.0,0.0,0.0,7.0,7.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Bucharest,Middle Child,Online,Engineering,No Special Needs
1598,1,17,1,9238.0,1.0,1.0,,1,37,37,7.0,7.0,140.9,1,0,0,1,1,0,18,0.0,0,6.0,10,4.0,12.0,,0.0,6.0,7.0,5,11.8,0,9.4,-0.8,-3.12,Dropout,Prague,,Full-Time,Commerce,
2005,1,1,1,9085.0,1.0,1.0,,1,1,37,4.0,10.0,143.2,0,0,0,1,0,0,19,0.0,0,5.0,7,5.0,14.4,,0.0,5.0,6.0,5,13.2,0,7.6,2.6,0.32,Graduate,Milan,,Full-Time,Commerce,
1456,1,1,1,9147.0,1.0,1.0,123.0,1,1,19,4.0,5.0,117.8,0,0,0,1,1,0,20,0.0,0,5.0,9,5.0,12.0,0.0,0.0,5.0,9.0,4,13.0,0,8.9,1.4,3.51,Enrolled,Istanbul,Youngest Child,Full-Time,Medicine,Special Needs
318,1,1,1,9238.0,1.0,1.0,,1,19,38,5.0,9.0,130.2,0,0,0,1,0,1,18,0.0,0,6.0,8,6.0,11.285714285714286,,0.0,6.0,10.0,6,11.857142857142858,0,12.4,0.5,1.79,Graduate,Vienna,,Online,Engineering,
964,1,1,1,9773.0,1.0,1.0,,1,1,3,3.0,7.0,113.0,1,0,0,1,1,1,18,0.0,0,6.0,7,6.0,11.666666666666666,,0.0,6.0,12.0,5,10.2,0,12.4,0.5,1.79,Graduate,Vienna,,Evening Classes,Arts,
1840,1,10,1,9773.0,1.0,1.0,,22,38,37,0.0,5.0,151.0,1,0,0,1,0,0,18,1.0,0,6.0,12,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Budapest,,Evening Classes,Engineering,
2330,1,43,5,8014.0,0.0,1.0,110.0,1,34,34,0.0,0.0,110.0,0,0,0,1,1,0,37,0.0,0,6.0,12,0.0,0.0,0.0,0.0,5.0,10.0,0,0.0,0,7.6,2.6,0.32,Dropout,Saint Petersburg,First Child,Online,Commerce,No Special Needs
4361,1,17,1,9500.0,1.0,1.0,,1,3,3,2.0,3.0,141.8,0,0,0,1,0,0,19,0.0,0,8.0,8,8.0,13.3475,,0.0,8.0,8.0,8,13.3475,0,9.4,-0.8,-3.12,Graduate,Budapest,,Full-Time,Commerce,
3258,1,44,1,9147.0,1.0,39.0,130.0,1,19,1,9.0,3.0,130.0,0,0,0,1,0,1,20,0.0,4,7.0,8,7.0,13.0,0.0,2.0,5.0,5.0,5,13.4,0,11.1,0.6,2.02,Graduate,Bucharest,Youngest Child,Part-Time,Engineering,Special Needs
1904,1,1,1,9773.0,1.0,1.0,,1,19,1,7.0,9.0,117.9,1,0,0,1,0,0,19,0.0,0,6.0,7,6.0,12.833333333333334,,0.0,6.0,7.0,6,11.666666666666666,0,11.1,0.6,2.02,Graduate,Athens,,Full-Time,Arts,
1729,2,43,1,9991.0,0.0,1.0,110.0,1,37,37,9.0,9.0,132.5,0,0,0,1,1,0,37,0.0,7,12.0,13,12.0,12.25,0.0,8.0,13.0,13.0,13,12.846153846153848,0,9.4,-0.8,-3.12,Graduate,Stockholm,Middle Child,Evening Classes,Science,No Special Needs
2045,1,1,2,9500.0,1.0,1.0,133.0,1,19,1,9.0,1.0,122.2,0,0,0,1,0,0,20,0.0,0,7.0,9,6.0,12.783333333333331,0.0,0.0,8.0,9.0,7,12.842857142857143,0,13.9,-0.3,0.79,Graduate,Dublin,Middle Child,Evening Classes,Arts,No Special Needs
2442,2,43,1,9670.0,1.0,1.0,,1,34,34,0.0,0.0,128.2,0,0,0,1,1,0,35,0.0,0,5.0,5,0.0,0.0,,0.0,5.0,5.0,1,10.0,0,9.4,-0.8,-3.12,Dropout,Madrid,,Online,Commerce,
1563,1,44,1,9130.0,1.0,,,1,19,19,,5.0,140.0,1,0,1,0,0,0,20,,1,6.0,11,,,0.0,0.0,6.0,11.0,2,11.0,0,12.4,0.5,1.79,Enrolled,,,Part-Time,Science,No Special Needs
3282,2,53,1,9147.0,1.0,42.0,,1,19,19,175.0,152.0,132.4,0,0,0,1,0,0,30,0.0,6,11.0,20,9.0,12.22222222222222,,3.0,9.0,16.0,9,11.6,0,8.9,1.4,3.51,Enrolled,Stockholm,,Online,Commerce,
3944,5,39,1,9003.0,1.0,1.0,,1,1,1,4.0,8.0,179.6,0,0,1,0,0,0,27,0.0,0,6.0,6,0.0,0.0,,0.0,6.0,7.0,0,0.0,0,8.9,1.4,3.51,Dropout,Amsterdam,,Part-Time,Engineering,
4020,1,1,1,9670.0,1.0,1.0,133.1,1,3,1,1.0,7.0,155.0,0,0,0,1,0,0,22,0.0,0,5.0,6,3.0,11.333333333333334,0.0,0.0,5.0,5.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Rome,Middle Child,Evening Classes,Commerce,Special Needs
1393,1,17,1,9238.0,1.0,1.0,,1,1,19,4.0,9.0,127.1,1,0,0,1,0,0,19,0.0,0,6.0,7,6.0,12.857142857142858,,0.0,6.0,7.0,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Stockholm,,Part-Time,Commerce,
1513,1,10,1,9254.0,1.0,1.0,115.0,24,3,1,9.0,9.0,116.1,1,0,0,1,0,0,19,1.0,0,6.0,6,6.0,13.5,0.0,0.0,6.0,6.0,6,14.333333333333334,0,12.4,0.5,1.79,Graduate,Sofia,First Child,Online,Commerce,No Special Needs
3992,1,17,1,9238.0,1.0,1.0,137.0,1,38,19,152.0,171.0,131.1,1,0,0,1,0,1,18,0.0,0,6.0,8,6.0,12.833333333333334,0.0,0.0,6.0,6.0,6,12.166666666666666,0,8.9,1.4,3.51,Graduate,Stockholm,Middle Child,Part-Time,Commerce,No Special Needs
3150,1,1,1,9130.0,1.0,1.0,,1,1,1,9.0,9.0,109.3,1,0,0,1,0,0,20,0.0,0,5.0,10,4.0,12.5,,0.0,5.0,12.0,2,13.0,0,12.7,3.7,-1.7,Enrolled,Lisbon,,Evening Classes,Commerce,
3965,1,1,3,9500.0,1.0,1.0,150.0,1,19,19,5.0,5.0,132.8,1,0,0,1,0,1,18,0.0,0,8.0,8,8.0,13.01125,0.0,0.0,8.0,8.0,8,13.01125,0,9.4,-0.8,-3.12,Graduate,Oslo,Youngest Child,Online,Engineering,Special Needs
2078,1,17,2,9500.0,1.0,1.0,146.0,1,3,3,3.0,6.0,133.4,1,0,0,1,0,0,18,0.0,0,7.0,8,7.0,12.5,0.0,0.0,8.0,9.0,7,13.042857142857144,0,13.9,-0.3,0.79,Graduate,,Youngest Child,Online,Commerce,No Special Needs
96,1,1,5,9773.0,1.0,1.0,135.0,1,37,1,5.0,5.0,124.9,1,0,0,1,0,0,18,0.0,0,6.0,6,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Oslo,Youngest Child,Online,Science,No Special Needs
139,1,18,1,,1.0,1.0,,1,19,1,4.0,8.0,174.7,0,0,0,1,0,0,18,0.0,0,,8,7.0,,,,8.0,8.0,8,17.5875,0,13.9,-0.3,0.79,Graduate,Athens,,Online,Commerce,
2121,1,1,1,9147.0,1.0,1.0,135.0,1,1,38,5.0,5.0,122.4,0,0,1,1,0,0,19,0.0,0,5.0,10,5.0,10.875,0.0,0.0,5.0,8.0,4,12.4,0,13.9,-0.3,0.79,Graduate,Istanbul,First Child,Evening Classes,Commerce,Special Needs
1261,1,42,1,9119.0,1.0,1.0,130.0,1,19,37,9.0,3.0,135.0,0,0,1,1,1,0,25,0.0,0,5.0,5,0.0,0.0,0.0,2.0,6.0,7.0,2,14.0,0,13.9,-0.3,0.79,Dropout,Zurich,First Child,Full-Time,Commerce,Special Needs
2354,1,1,2,9085.0,1.0,1.0,,1,37,19,90.0,90.0,137.3,0,0,0,1,1,0,18,0.0,0,6.0,0,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,7.6,2.6,0.32,Dropout,London,,Evening Classes,Medicine,
2268,1,43,1,9500.0,1.0,1.0,120.0,1,3,4,2.0,4.0,120.6,0,0,0,1,1,0,18,0.0,0,7.0,12,4.0,12.65,0.0,0.0,7.0,10.0,3,10.666666666666666,0,16.2,0.3,-0.92,Dropout,Zurich,First Child,Evening Classes,Medicine,Special Needs
1174,1,18,1,,1.0,1.0,140.0,1,1,37,9.0,9.0,130.2,1,0,0,1,1,0,22,0.0,0,,11,4.0,,0.0,,6.0,11.0,4,12.6,0,12.7,3.7,-1.7,Graduate,Lisbon,First Child,Online,Medicine,Special Needs
3050,2,39,1,9556.0,1.0,1.0,,1,37,37,9.0,6.0,120.0,0,0,0,1,0,0,31,0.0,0,7.0,21,5.0,10.9,,0.0,8.0,21.0,3,11.7,1,12.7,3.7,-1.7,Dropout,Barcelona,,Full-Time,Medicine,
1272,2,1,1,9147.0,1.0,1.0,,1,38,37,9.0,8.0,132.1,1,0,0,1,0,0,34,0.0,0,5.0,7,2.0,10.0,,0.0,5.0,6.0,4,12.0,0,7.6,2.6,0.32,Dropout,Istanbul,,Online,Science,
807,1,1,1,9130.0,1.0,1.0,143.0,1,3,3,2.0,10.0,141.3,0,0,1,0,0,0,23,0.0,0,6.0,10,6.0,14.0,0.0,0.0,6.0,11.0,4,13.0,0,11.1,0.6,2.02,Enrolled,Venice,First Child,Full-Time,Engineering,No Special Needs
376,1,18,4,9147.0,1.0,1.0,130.0,1,37,37,9.0,9.0,119.9,1,0,0,0,0,0,34,0.0,0,5.0,5,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout,London,Middle Child,Full-Time,Science,No Special Needs
4103,1,1,2,9147.0,1.0,1.0,,1,1,19,4.0,9.0,124.0,1,0,0,1,0,0,19,0.0,0,5.0,5,5.0,11.2,,0.0,5.0,11.0,4,11.75,0,10.8,1.4,1.74,Enrolled,Bucharest,,Evening Classes,Commerce,
4288,1,44,1,9003.0,1.0,39.0,130.0,1,1,3,9.0,2.0,130.0,1,0,1,0,1,0,23,0.0,0,6.0,12,2.0,11.333333333333334,0.0,0.0,6.0,8.0,2,13.0,0,13.9,-0.3,0.79,Dropout,Bucharest,First Child,Full-Time,Commerce,Special Needs
4278,1,1,3,9773.0,1.0,1.0,,1,1,1,4.0,7.0,125.1,1,0,1,1,1,1,18,0.0,0,6.0,6,6.0,14.333333333333334,,0.0,6.0,6.0,6,15.333333333333334,0,11.1,0.6,2.02,Graduate,Munich,,Online,Arts,
1962,1,1,1,,1.0,1.0,115.0,1,1,1,5.0,4.0,108.0,1,0,0,1,0,1,20,0.0,0,,9,5.0,,0.0,,6.0,6.0,5,13.8,0,12.4,0.5,1.79,Graduate,Stockholm,Youngest Child,Full-Time,Commerce,No Special Needs
2834,1,39,1,9085.0,1.0,1.0,133.1,1,19,19,7.0,7.0,130.0,1,0,0,1,0,0,24,0.0,0,6.0,7,6.0,14.857142857142858,0.0,0.0,6.0,10.0,5,13.6,0,13.9,-0.3,0.79,Graduate,Copenhagen,First Child,Part-Time,Medicine,No Special Needs
150,1,1,1,171.0,1.0,1.0,136.0,1,3,37,2.0,8.0,121.7,1,0,0,1,0,0,18,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,Middle Child,Evening Classes,Medicine,Special Needs
2118,1,1,4,9773.0,1.0,1.0,132.0,11,12,12,90.0,4.0,129.9,1,0,0,1,0,0,18,1.0,0,6.0,6,6.0,12.666666666666666,0.0,0.0,6.0,8.0,5,14.4,0,7.6,2.6,0.32,Graduate,Kyiv,First Child,Online,Commerce,No Special Needs
1961,1,18,1,9500.0,1.0,,,1,19,1,,4.0,125.8,0,0,0,1,0,1,20,,0,8.0,8,,,,0.0,8.0,8.0,0,0.0,8,9.4,-0.8,-3.12,Enrolled,,,Full-Time,Science,
3058,1,1,4,9500.0,1.0,1.0,,1,38,19,8.0,7.0,127.3,1,0,0,1,0,0,18,0.0,0,8.0,8,7.0,12.628571428571428,,0.0,8.0,8.0,7,12.628571428571428,0,12.7,3.7,-1.7,Graduate,Lisbon,,Full-Time,Arts,
4249,2,43,1,9991.0,0.0,3.0,130.0,1,37,37,9.0,9.0,130.0,0,0,0,1,0,0,41,0.0,5,10.0,11,10.0,14.3,0.0,5.0,10.0,10.0,10,14.2,0,12.7,3.7,-1.7,Graduate,Oslo,Youngest Child,Full-Time,Science,No Special Needs
3809,2,39,1,8014.0,0.0,1.0,120.0,1,34,34,0.0,0.0,104.0,0,0,0,1,0,0,54,0.0,0,6.0,8,4.0,12.75,0.0,0.0,6.0,12.0,5,12.6,0,7.6,2.6,0.32,Dropout,,Middle Child,Part-Time,Science,No Special Needs
3968,1,44,1,9085.0,1.0,39.0,150.0,1,3,19,2.0,4.0,150.0,1,0,0,1,0,0,22,0.0,1,6.0,9,6.0,13.0,0.0,1.0,6.0,18.0,3,12.666666666666666,0,12.4,0.5,1.79,Graduate,Copenhagen,First Child,Full-Time,Medicine,Special Needs
2968,1,39,2,8014.0,0.0,1.0,,1,35,37,90.0,90.0,100.0,0,0,0,1,0,0,41,0.0,0,6.0,10,4.0,13.5,,1.0,6.0,7.0,6,11.166666666666666,0,7.6,2.6,0.32,Graduate,Brussels,,Full-Time,Commerce,
239,1,39,1,9085.0,1.0,19.0,133.1,1,19,19,9.0,7.0,140.0,0,0,1,0,0,0,24,0.0,2,6.0,11,3.0,11.75,0.0,1.0,6.0,14.0,3,10.333333333333334,0,16.2,0.3,-0.92,Dropout,Brussels,Middle Child,Part-Time,Medicine,No Special Needs
764,2,44,1,8014.0,,39.0,150.0,1,1,1,5.0,,154.0,0,0,0,1,1,0,37,,12,16.0,17,16.0,14.125,0.0,6.0,,,10,,0,12.4,,1.79,Graduate,,Middle Child,Online,Arts,No Special Needs
443,1,1,5,9500.0,1.0,1.0,,1,19,19,7.0,8.0,120.3,1,0,0,1,0,1,18,0.0,0,8.0,8,7.0,12.694285714285714,,0.0,8.0,8.0,7,12.694285714285714,0,10.8,1.4,1.74,Graduate,Warsaw,,Full-Time,Engineering,
497,1,17,1,9254.0,1.0,1.0,122.0,1,1,19,4.0,3.0,130.4,1,0,0,1,0,0,18,0.0,0,6.0,10,5.0,11.8,0.0,0.0,6.0,10.0,5,12.2,0,11.1,0.6,2.02,Graduate,,First Child,Full-Time,Arts,Special Needs
414,1,1,1,9238.0,1.0,1.0,132.0,1,1,38,9.0,7.0,127.1,1,0,0,1,0,1,20,0.0,0,6.0,9,6.0,12.333333333333334,0.0,0.0,6.0,6.0,6,11.833333333333334,0,8.9,1.4,3.51,Graduate,Athens,Youngest Child,Full-Time,Arts,Special Needs
4274,1,1,1,9254.0,1.0,1.0,131.0,1,37,19,9.0,9.0,134.5,1,0,0,1,1,0,25,0.0,0,6.0,8,6.0,13.166666666666666,0.0,0.0,6.0,8.0,5,12.6,0,7.6,2.6,0.32,Enrolled,Venice,First Child,Full-Time,Engineering,Special Needs
721,1,1,1,9254.0,1.0,1.0,115.0,1,19,1,3.0,7.0,113.6,0,0,0,1,1,0,23,0.0,0,6.0,10,6.0,13.0,0.0,0.0,6.0,9.0,6,12.0,0,11.1,0.6,2.02,Enrolled,Madrid,Youngest Child,Evening Classes,Engineering,Special Needs
4308,1,44,1,171.0,1.0,39.0,,1,1,1,1.0,7.0,114.2,0,0,0,1,1,0,19,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,12.4,0.5,1.79,Dropout,Copenhagen,,Part-Time,Science,
371,4,39,1,9991.0,0.0,1.0,130.0,1,38,19,9.0,7.0,148.0,0,0,0,1,0,1,31,0.0,0,5.0,11,4.0,11.25,0.0,0.0,5.0,10.0,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled,Stockholm,Youngest Child,Online,Arts,Special Needs
3210,1,7,1,9003.0,1.0,3.0,,1,3,3,6.0,2.0,130.0,1,0,0,1,1,0,29,0.0,1,6.0,10,6.0,17.11111111111111,,2.0,6.0,9.0,6,15.571428571428571,0,13.9,-0.3,0.79,Graduate,Istanbul,,Part-Time,Science,
3023,1,1,2,171.0,1.0,1.0,152.0,1,38,19,9.0,9.0,151.7,1,0,0,1,0,1,24,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,11.1,0.6,2.02,Graduate,Amsterdam,Middle Child,Evening Classes,Science,No Special Needs
718,2,42,1,9991.0,0.0,6.0,123.0,1,37,37,9.0,9.0,123.0,0,0,0,1,1,0,37,0.0,0,5.0,10,5.0,15.8,0.0,0.0,5.0,5.0,5,17.6,0,9.4,-0.8,-3.12,Enrolled,,Middle Child,Evening Classes,Science,Special Needs
